 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   |    dog     |   5021h - 3480h   |     30_19 - 30_27     | L1_Canis1(h) - L1_Cf(t)   |   149   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | cat, dog 
 1   |    cat     |   5021h - 3480h   |     -B3_2 - -B3_1     |   L1_Fc(t) - L1_Fc(h)   |   149   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 2   |    dog     |   4616t - 8472h   |    -10_46 - -10_45    |   L1_Cf(h) - L1_Cf(t)   |   504   |  True  | L1_Cfhou, L1_Cftoi | cat, dog 
 3   |    cat     |   4616t - 8472h   |     -A3_4 - -A3_3     |   L1_Fc(t) - L1_Fc(h)   |   504   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 4   |    dog     |  14762h - 21613h  |      2_48 - 2_49      | L1_Canis1(t) - L1_Canis1(h) |  2224   |  True  | L1_Canis1tou, L1_Canis1hoi | cat, dog 
 5   |    cat     |  14762h - 21613h  |     -B4_1 - -B4_0     |   L1_Fc(t) - L1_Fc(h)   |  2224   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 6   |    dog     |  15925t - 22106h  |    -28_38 - -28_36    |   L1_Cf(h) - L1_Cf(h)   |  4477   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | cat, dog 
 7   |    cat     |  15925t - 22106h  |     -D2_5 - -D2_4     |   L1_Fc(t) - L1_Fc(h)   |  4477   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 8   |    dog     |   8107h - 4011t   |     24_29 - 24_34     | L1_Carn3(t) - L1_Cf(h)   |  4483   |  True  | L1_Carn3tou, L1_Carn3hoi, L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | cat, dog 
 9   |    cat     |   8107h - 4011t   |     -A3_1 - -A3_0     | L1-2_Fc(t) - L1-2_Fc(h) |  4483   |  True  | L1-2_Fctou, L1-2_Fchoi | cat, dog 
 10  |    dog     |  53106t - 6346h   |     X_200 - X_201     | L1_Canis1(t) - L1_Canis1(h) |  4942   |  True  | L1_Canis1tou, L1_Canis1hoi | cat, dog 
 11  |    cat     |  53106t - 6346h   |      X_19 - X_20      |   L1_Fc(h) - L1_Fc(t)   |  4942   |  True  | L1_Fchou, L1_Fctoi | cat, dog 
 12  |    dog     |   1493t - 2974t   |     -6_81 - -6_80     | L1_Canis1(t) - L1_Canis1(h) |  6085   |  True  | L1_Canis1tou, L1_Canis1hoi | cat, dog 
 13  |    cat     |   1493t - 2974t   |      C1_2 - C1_3      |   L1_Fc(h) - L1_Fc(t)   |  6085   |  True  | L1_Fchou, L1_Fctoi | cat, dog 
 14  |    dog     |  36375h - 15949t  |    -11_65 - -11_64    |   L1_Cf(t) - L1_Cf(h)   |  11263  |  True  | L1_Cftou, L1_Cfhoi | cat, dog 
 15  |    cat     |  36375h - 15949t  |     -D4_1 - -D4_0     | L1-2_Fc(t) - L1-2_Fc(h) |  11263  |  True  | L1-2_Fctou, L1-2_Fchoi | cat, dog 
 16  |    dog     |  11978h - 22955t  |     29_56 - 29_61     |   L1_Cf(h) - L1_Cf(t)   |  11348  |  True  | L1_Cfhou, L1_Cftoi | cat, dog 
 17  |    cat     |  11978h - 22955t  |      F2_0 - F2_1      |   L1_Fc(t) - L1_Fc(h)   |  11348  |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 18  |    dog     |   3489t - 26932t  |     -1_65 - -1_63     |   L1_Cf(h) - L1_Canis1(t) |  12860  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | cat, dog 
 19  |    cat     |   3489t - 26932t  |    -B2_14 - -B2_13    | L1-2_Fc(t) - L1-2_Fc(h) |  12860  |  True  | L1-2_Fctou, L1-2_Fchoi | cat, dog 
 20  |    cat     |  12153t - 2487h   |     -B1_5 - -B1_4     |   L1_Fc(h) - L1_Fc(t)   |   751   |  True  | L1_Fchou, L1_Fctoi | cat 
 21  |    cat     |  12054t - 10294t  |    -A1_13 - -A1_12    |   L1_Fc(t) - L1_Fc(h)   |  1200   |  True  | L1_Fctou, L1_Fchoi | cat 
 22  |    cat     |  22015h - 17847h  |     -D2_2 - -D2_1     | L1-2_Fc(t) - L1-2_Fc(h) |  1465   |  True  | L1-2_Fctou, L1-2_Fchoi | cat 
 23  |    cat     |  12386h - 52391h  |     -B3_6 - -B3_5     | L1-2_Fc(h) - L1-2_Fc(t) |  2088   |  True  | L1-2_Fchou, L1-2_Fctoi | cat 
 24  |    cat     |  15262t - 24845h  |      B4_7 - B4_8      |   L1_Fc(t) - L1_Fc(h)   |  2388   |  True  | L1_Fctou, L1_Fchoi | cat 
 25  |    cat     |    338h - 10652h  |      A3_7 - B1_0      |       None - None       |  2490   |  True  | Noneou, Noneoi | cat 
 26  |    cat     |    869t - 915t    |      E1_0 - E1_1      | L1-2_Fc(t) - L1-2_Fc(h) |  4371   |  True  | L1-2_Fctou, L1-2_Fchoi | cat 
 27  |    cat     |   4686t - 13731h  |      D2_2 - D2_3      |   L1_Fc(h) - L1_Fc(t)   |  5162   |  True  | L1_Fchou, L1_Fctoi | cat 
 28  |    cat     |   9336t - 16763h  |      F1_1 - F1_2      | L1-2_Fc(h) - L1-2_Fc(t) |  5705   |  True  | L1-2_Fchou, L1-2_Fctoi | cat 
