 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   |    cat     |   2534h - 7525h   |      B4_2 - B4_4      | L1-2_Fc(h) - L1_Fc(t)   |   90    |  True  | L1-2_Fchou, L1-2_Fctoi, L1_Fchou, L1_Fctoi | cat, dog 
 1   |    dog     |   2534h - 7525h   |    -27_19 - -27_18    |   L1_Cf(h) - L1_Cf(t)   |   90    |  True  | L1_Cfhou, L1_Cftoi | cat, dog 
 2   |    cat     |   8107h - 4011t   |     -A3_1 - -A3_0     | L1-2_Fc(t) - L1-2_Fc(h) |   750   |  True  | L1-2_Fctou, L1-2_Fchoi | cat, dog 
 3   |    dog     |   8107h - 4011t   |     24_29 - 24_34     | L1_Carn3(t) - L1_Cf(h)   |   750   |  True  | L1_Carn3tou, L1_Carn3hoi, L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | cat, dog 
 4   |    cat     |  36375h - 15949t  |     -D4_1 - -D4_0     | L1-2_Fc(t) - L1-2_Fc(h) |  2101   |  True  | L1-2_Fctou, L1-2_Fchoi | cat, dog 
 5   |    dog     |  36375h - 15949t  |    -11_65 - -11_64    |   L1_Cf(t) - L1_Cf(h)   |  2101   |  True  | L1_Cftou, L1_Cfhoi | cat, dog 
 6   |    cat     |   2974t - 1493t   |     -C1_3 - -C1_2     |   L1_Fc(t) - L1_Fc(h)   |  2792   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 7   |    dog     |   2974t - 1493t   |      6_80 - 6_81      | L1_Canis1(h) - L1_Canis1(t) |  2792   |  True  | L1_Canis1hou, L1_Canis1toi | cat, dog 
 8   |    cat     |   4616t - 8472h   |     -A3_4 - -A3_3     |   L1_Fc(t) - L1_Fc(h)   |  4395   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 9   |    dog     |   4616t - 8472h   |    -10_46 - -10_45    |   L1_Cf(h) - L1_Cf(t)   |  4395   |  True  | L1_Cfhou, L1_Cftoi | cat, dog 
 10  |    cat     |  15925t - 22106h  |     -D2_5 - -D2_4     |   L1_Fc(t) - L1_Fc(h)   |  6372   |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 11  |    dog     |  15925t - 22106h  |    -28_38 - -28_36    |   L1_Cf(h) - L1_Cf(h)   |  6372   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | cat, dog 
 12  |    cat     |  53106t - 6346h   |      X_19 - X_20      |   L1_Fc(h) - L1_Fc(t)   |  8332   |  True  | L1_Fchou, L1_Fctoi | cat, dog 
 13  |    dog     |  53106t - 6346h   |     X_200 - X_201     | L1_Canis1(t) - L1_Canis1(h) |  8332   |  True  | L1_Canis1tou, L1_Canis1hoi | cat, dog 
 14  |    cat     |   3480h - 5021h   |      B3_1 - B3_2      |   L1_Fc(h) - L1_Fc(t)   |  11162  |  True  | L1_Fchou, L1_Fctoi | cat, dog 
 15  |    dog     |   3480h - 5021h   |    -30_27 - -30_19    |   L1_Cf(t) - L1_Canis1(h) |  11162  |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1tou, L1_Canis1hoi | cat, dog 
 16  |    cat     |  11978h - 22955t  |      F2_0 - F2_1      |   L1_Fc(t) - L1_Fc(h)   |  21303  |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 17  |    dog     |  11978h - 22955t  |     29_56 - 29_61     |   L1_Cf(h) - L1_Cf(t)   |  21303  |  True  | L1_Cfhou, L1_Cftoi | cat, dog 
 18  |    cat     |  14762h - 21613h  |     -B4_1 - -B4_0     |   L1_Fc(t) - L1_Fc(h)   |  24350  |  True  | L1_Fctou, L1_Fchoi | cat, dog 
 19  |    dog     |  14762h - 21613h  |      2_48 - 2_49      | L1_Canis1(t) - L1_Canis1(h) |  24350  |  True  | L1_Canis1tou, L1_Canis1hoi | cat, dog 
 20  |    cat     |  26932t - 3489t   |     B2_13 - B2_14     | L1-2_Fc(h) - L1-2_Fc(t) |  31488  |  True  | L1-2_Fchou, L1-2_Fctoi | cat, dog 
 21  |    dog     |  26932t - 3489t   |      1_63 - 1_65      | L1_Canis1(t) - L1_Cf(h)   |  31488  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | cat, dog 
 22  |    cat     |  15756t - 6047t   |      C1_8 - C1_9      | L1-2_Fc(t) - L1-2_Fc(h) |   67    |  True  | L1-2_Fctou, L1-2_Fchoi | cat 
 23  |    cat     |  15262t - 24845h  |      B4_7 - B4_8      |   L1_Fc(t) - L1_Fc(h)   |   73    |  True  | L1_Fctou, L1_Fchoi | cat 
