 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
 0   | chimpanzee |  23532h - 1549t   |     5_651 - -5_571    |    L1P1(h) - L1PA2(t)   |    3    |  True  | L1P1hou, L1P1toi, L1PA2hou, L1PA2toi | chimpanzee 
 1   | chimpanzee |   4181h - 4774h   |    -4_751 - -4_716    |   L1PA4(h) - L1P1(t)    |   33    |  True  | L1PA4hou, L1PA4toi, L1P1hou, L1P1toi | chimpanzee 
 2   | chimpanzee |  17037h - 10979t  |    -6_419 - -6_408    |   L1PA3(h) - L1PA3(h)   |   37    |  True  | L1PA3hou, L1PA3toi, L1PA3tou, L1PA3hoi | chimpanzee 
 3   | chimpanzee |  36805t - 36826t  |    -3_292 - -3_284    |   L1PA4(h) - L1PA4(t)   |   54    |  True  | L1PA4hou, L1PA4toi | chimpanzee 
 4   | chimpanzee |  30418h - 7903t   |     13_72 - 13_75     |   L1PA3(h) - L1PA3(t)   |   62    |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 5   | chimpanzee |  13456t - 19130h  |    14_216 - 14_219    |   L1PA3(t) - L1PA4(h)   |   132   |  True  | L1PA3tou, L1PA3hoi, L1PA4tou, L1PA4hoi | chimpanzee 
 6   | chimpanzee |   9001h - 11283h  |    -7_679 - -7_676    |   L1PA3(h) - L1PA3(t)   |   143   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
 7   | chimpanzee |   5129t - 6382t   |   -12_234 - -12_230   |   L1PA3(h) - L1PA4(t)   |   152   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
 8   | chimpanzee |   9545t - 21695t  |     5_688 - 9_255     |   L1PA3(t) - L1Pt(t)    |   156   |  True  | L1PA3tou, L1PA3hoi, L1Pthou, L1Pttoi | chimpanzee 
 9   | chimpanzee |   3845t - 9580t   |     6_468 - 6_469     |   L1PA2(h) - L1PA2(t)   |   210   |  True  | L1PA2hou, L1PA2toi | chimpanzee 
 10  | chimpanzee |  11779h - 25317h  |     6_480 - 6_481     |   L1PA2(t) - L1PA2(h)   |   233   |  True  | L1PA2tou, L1PA2hoi | chimpanzee 
 11  | chimpanzee |  21053t - 5824h   |     7_105 - 7_115     |   L1PA4(t) - L1PA3(t)   |   266   |  True  | L1PA4tou, L1PA4hoi, L1PA3hou, L1PA3toi | chimpanzee 
 12  | chimpanzee |  23515t - 6123t   |     9_144 - 9_145     |   L1PA2(h) - L1PA2(t)   |   269   |  True  | L1PA2hou, L1PA2toi | chimpanzee 
 13  | chimpanzee |  30134t - 24559h  |    11_287 - 11_301    |    L1P1(h) - L1PA3(t)   |   271   |  True  | L1P1hou, L1P1toi, L1PA3hou, L1PA3toi | chimpanzee 
 14  | chimpanzee |   2286t - 27650h  |     17_30 - 17_31     |    L1Pt(t) - L1Pt(h)    |   275   |  True  | L1Pttou, L1Pthoi | chimpanzee 
 15  | chimpanzee |   1583h - 8635t   |   -15_193 - -10_362   |   L1PA4(h) - L1PA3(h)   |   290   | False  | L1PA4hou, L1PA4toi, L1PA3tou, L1PA3hoi | chimpanzee 
 16  | chimpanzee |  18059h - 26087t  |     4_787 - 4_799     |    L1Pt(h) - L1P1(t)    |   306   |  True  | L1Pthou, L1Pttoi, L1P1hou, L1P1toi | chimpanzee 
 17  | chimpanzee |  34878h - 23829h  |    11_120 - 11_123    |   L1PA4(h) - L1PA2(h)   |   307   |  True  | L1PA4hou, L1PA4toi, L1PA2tou, L1PA2hoi | chimpanzee 
 18  | chimpanzee |   2487h - 12153t  |    -4_539 - -4_514    |   L1PA4(h) - L1PA3(h)   |   316   |  True  | L1PA4hou, L1PA4toi, L1PA3tou, L1PA3hoi | chimpanzee 
 19  | chimpanzee |  16041t - 12395h  |   -14_102 - -14_86    |   L1PA4(h) - L1PA3(t)   |   401   |  True  | L1PA4hou, L1PA4toi, L1PA3hou, L1PA3toi | chimpanzee 
 20  | chimpanzee |  21838h - 26581t  |    12_356 - 3_713     |   L1PA4(t) - L1Pt(t)    |   406   | False  | L1PA4tou, L1PA4hoi, L1Pthou, L1Pttoi | chimpanzee 
 21  | chimpanzee |   3167t - 24289h  |    -11_67 - -11_61    |   L1PA4(t) - L1P1(h)    |   422   |  True  | L1PA4tou, L1PA4hoi, L1P1tou, L1P1hoi | chimpanzee 
 22  | chimpanzee |   3321t - 306h    |     4_152 - 4_156     |   L1PA3(t) - L1PA2(h)   |   441   |  True  | L1PA3tou, L1PA3hoi, L1PA2tou, L1PA2hoi | chimpanzee 
 23  | chimpanzee |  18637h - 48761h  |   -10_442 - -10_440   |   L1PA6(t) - L1PA3(h)   |   491   |  True  | L1PA6tou, L1PA6hoi, L1PA3tou, L1PA3hoi | chimpanzee 
 24  | chimpanzee |   1107t - 2729t   |     -7_92 - -7_73     |   L1PA3(h) - L1PA3(h)   |   534   |  True  | L1PA3hou, L1PA3toi, L1PA3tou, L1PA3hoi | chimpanzee 
 25  | chimpanzee |  13880t - 1389t   |      6_85 - 6_87      |   L1PA3(t) - L1PA3(t)   |   549   |  True  | L1PA3tou, L1PA3hoi, L1PA3hou, L1PA3toi | chimpanzee 
 26  | chimpanzee |  14431h - 8259t   |    11_447 - 11_451    |   L1PA3(t) - L1PA3(h)   |   571   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 27  | chimpanzee |  23115t - 16298t  |     8_277 - 8_288     |   L1PA3(t) - L1PA4(t)   |   573   |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
 28  | chimpanzee |   5187t - 4781t   |    11_147 - 11_148    |   L1PA3(t) - L1PA3(h)   |   579   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
 29  | chimpanzee |  21312t - 8160h   |    -3_447 - -3_446    |   L1PA3(h) - L1PA3(t)   |   588   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
